user,location,text,sentiment,probability
SublimeUser,,"A SEGUIR APOYANDO LA CAUSA
WE ARE #ANONYMOUS https://t.co/HNvxhIvMBK",Positivo,69
enefantes,660001,"@solo_otra_cuent @AnonymousOpCOL conéctate desde un vpn y abre el enlace desde Tor, sino no te lo recomiendo… https://t.co/x9K4lx0ULj",Positivo,69
DaviDucuara,,Gente #Anonymous tumbo la página de la República de Colombia #Colombia #ColombiaResiste #FuerzaCOLOMBIA https://t.co/39AkCF9dVJ,Positivo,66
sjuliana23_,Bucaramanga.,"Mis respetos para #Anonymous , son unos crackssssss 👏🏻",Positivo,61
Hela77619750,,"Los policías se están drogando!!!! Con todo respeto, que hijos de puta. #ColombiaEnAlertaRoja #ColombiaResiste… https://t.co/kgmeD0kve9",Positivo,59
Diegooperilla,,@2401_Penitent @YourAnonNews @AnonNews_Col @infopresidencia Tengamos fe a @AnonNews_Col @YourAnonNews  ya podrá vam… https://t.co/1awm11gAtA,Positivo,65
PolarizaD0,Éxodo,"Primero los K-popers y ahora #Anonymous! 

La vieja raza indígena colombiana nunca será subestimada otra vez!

#SOSColombiaDDHH",Positivo,60
1tintico,,@LinaLeo73908100 #Anonymous tumban la página de la presidencia en Colombia 🇨🇴🇨🇴🇨🇴❤️ infinitas gracias.… https://t.co/OtrcHFWzhV,Positivo,84
taniaroja,"Cali, Colombia",Yo si decía porque la novela estuvo tan larga jajajaj #Anonymous los amo 🤣❤️🙌🏽,Positivo,57
Laurafe22636073,,Esto paso en una clase 😲😪 #FuerzaCOLOMBIA #Colombia #Anonymous #ColombiaSOS https://t.co/NrLP55yozo,Positivo,67
anamariagarey,Bogotá D.C,"Parce que chimba, todo mi amor para anonymous
#Anonymous
#AnonymousColombia
#SOSColombiaDDHH #ParoNacional4M… https://t.co/nT26ZK7nnb",Positivo,67
Tendencia_Peron,Peronia,"#Anonymous

Porque lograron vulnerar la seguridad de los servidores del ejército colombiano ✊ https://t.co/YBlfgbgAhK",Positivo,66
AdanSenor,Sodoma y Egipto.,"#Anonymous #SOSColombiaDDHH #Colombia #Bogota #ColombiaSeRespeta ISA.41:13:PORQUE YO,JEHOVÁ TU DIOS,TENGO AGARRADA… https://t.co/T4ugMSPMop",Positivo,62
AndresDelRiio9,En algún lugar del mundo,"#Anonymous

Borren las bases de datos del Icetex y Datacrédito

#SOSColombiaDDHH",Positivo,56
paestebanv,,Toda la inteligencia del #EjercitoNacional durante los ataques de #Anonymous. Viva el #ParoNacional4M!!! https://t.co/OnQXbp5yPi,Positivo,69
GinaMaroma,Bogota Colombia,Que comience el juegoya que al pelele que dirige este país no le gusta dar la cara llega un contendiente que los va… https://t.co/uA3CRGauMY,Positivo,64
TinOrtiz5,,"🇦🇲💔👏🏽 No mas al narcogobierno, no mas al presidente narcoparamilitar ivan duque, no mas a su jefe genocida norcopar… https://t.co/rhn3WaSFkl",Positivo,74
VivianaCuastum2,,#Anonymous gracias por su apoyo siento que su comunidad y la de #kpopers  han contribuido más de lo que el gobierno… https://t.co/PSMN2IjmNA,Positivo,85
_nolosee,,"HORARIO DE COMIENZO:
6:00 PM 🇨🇷🇬🇹🇸🇻🇳🇮🇭🇳
7:00 PM 🇲🇽🇵🇪🇨🇴🇪🇨🇵🇦
8:00 PM 🇩🇴🇧🇴🇵🇾🇨🇱🇨🇺🇵🇷🇻🇪
9:00 PM 🇦🇷🇺🇾🇧🇷
2:00 AM 🇪🇸… https://t.co/tspdqC5ZNw",Positivo,64
mapivallejo,,#Anonymous la de la presidencia ya?,Positivo,58
HEDOJUDI,,"La distorsión de la información a esta hora de CARACOL es extremadamente  indignante. 
#DerechosHumanos
#Anonymous… https://t.co/pnAvOWhWNl",Positivo,61
Mi_nnie13,,#Anonymous petición para que anonymous interrumpa los programas de televisión (mundialmente) para en su lugar poner… https://t.co/K0wKc9QHxv,Positivo,62
Drownksoo,Baeksoo supremacy,"No se que tan real sea estas cosas, pero necesito que tumben el programa de Duque. #Anonymous",Positivo,69
RicardoMendozaN,D.F. Mexico,Una mano #Anonymous para que le pongas unos cuantos ceros a mi cuenta bancaria 😬,Positivo,62
